code,type
100,Sin asignar
102,Sin asignar
103,Sin asignar
106,Sin asignar
108,Sin asignar
120,Sin asignar
122,Sin asignar
124,Sin asignar
125,Sin asignar
126,Sin asignar
128,Sin asignar
200,Sin asignar
201,Sin asignar
202,Sin asignar
203,Sin asignar
204,Sin asignar
206,Sin asignar
208,Sin asignar
250,Sin asignar
252,Sin asignar
254,Sin asignar
256,Sin asignar
257,Sin asignar
260,Sin asignar
302,Sin asignar
304,Sin asignar
305,Sin asignar
306,Sin asignar
307,Sin asignar
308,Sin asignar
310,Sin asignar
311,Sin asignar
312,Sin asignar
314,Sin asignar
316,Sin asignar
317,Sin asignar
318,Sin asignar
319,Sin asignar
320,Sin asignar
322,Sin asignar
324,Sin asignar
326,Sin asignar
328,Sin asignar
329,Sin asignar
330,Sin asignar
331,Sin asignar
332,Sin asignar
334,Sin asignar
335,Sin asignar
MTTO001,Mantenimiento - Correctivo - Daño Mecánico
MTTO002,Mantenimiento - Correctivo - Daño Mecánico
MTTO003,Mantenimiento - Preventivo
MTTO004,Mantenimiento - Por Operario
336,Sin asignar
337,Sin asignar
340,Sin asignar
342,Sin asignar
344,Sin asignar
345,Sin asignar
346,Sin asignar
347,Sin asignar
400,Sin asignar
401,Sin asignar
402,Sin asignar
403,Sin asignar
404,Sin asignar
405,Sin asignar
406,Sin asignar
408,Sin asignar
410,Sin asignar
412,Sin asignar
414,Sin asignar
416,Sin asignar
418,Sin asignar
420,Sin asignar
422,Sin asignar
426,Sin asignar
428,Sin asignar
429,Sin asignar
430,Sin asignar
432,Sin asignar
434,Sin asignar
436,Sin asignar
440,Sin asignar
442,Sin asignar
444,Sin asignar
450,Sin asignar
452,Sin asignar
454,Sin asignar
456,Sin asignar
457,Sin asignar
458,Sin asignar
460,Sin asignar
480,Sin asignar
482,Sin asignar
484,Sin asignar
490,Sin asignar
491,Sin asignar
492,Sin asignar
493,Sin asignar
494,Sin asignar
800,Sin asignar
802,Sin asignar
804,Sin asignar
806,Sin asignar
810,Sin asignar
902,Sin asignar
904,Sin asignar
907,Sin asignar
908,Sin asignar
950,Sin asignar
952,Sin asignar
954,Sin asignar
960,Sin asignar
